Date,Open,Close,High,Low,RSI
2024-01-02,29.89,28.04,29.9,27.25,52.52456126
2024-01-03,26.59,26.25,27.05,25.88,46.52425869
2024-01-04,24.96,25.58,26.33,24.8,44.47618896
2024-01-05,25.65,25.93,26.62,25.4,45.81802072
2024-01-08,26.49,28.43,28.67,26.43,54.31144585
2024-01-09,27.5,28.42,29.14,27.35,54.27479612
2024-01-10,28.64,28.17,28.68,27.09,53.30633317
2024-01-11,28.25,28.46,29.04,26.78,54.3244813
2024-01-12,28.58,28.1,28.98,27.61,52.78576348
2024-01-16,28.15,29.19,29.83,27.7,56.77766905
2024-01-17,28.37,28.43,28.55,26.96,53.38825378
2024-01-18,30.72,31.19,31.31,29.81,62.21081897
2024-01-19,32.42,34.86,34.99,31.9,70.26919949
2024-01-22,35.68,35.26,36.57,34.22,70.99518671
2024-01-23,35.23,35.92,36.01,34.22,72.20137289
2024-01-24,37.1,37.42,38.92,36.26,74.76942284
2024-01-25,39.5,37.12,39.53,36.52,73.31073497
2024-01-26,34.87,34.01,35.55,33.7,60.19921629
2024-01-29,34.23,35.04,35.13,33.51,62.5858348
2024-01-30,34.56,33.53,35.13,33.05,57.173205
2024-01-31,31.92,32.1,33.87,31.14,52.53917053
2024-02-01,32.28,32.45,32.72,31.2,53.53191659
2024-02-02,32.35,33.65,33.92,32.17,56.86346402
2024-02-05,34.55,35.1,35.6,33.42,60.5445013
2024-02-06,35.37,33.83,35.48,32.66,56.03426754
2024-02-07,34.44,35.36,35.49,33.46,59.90901551
2024-02-08,35.74,37.15,37.95,35.64,63.91577116
2024-02-09,37.86,39.32,39.54,37.17,68.0805583
2024-02-12,39.41,39.15,41.33,38.65,67.42401427
2024-02-13,35.71,36.84,37.96,35.16,59.08582422
2024-02-14,38.14,39.12,39.26,37.61,63.83920595
2024-02-15,40,39.11,40.12,38.5,63.80419306
2024-02-16,39.84,38.33,40.78,37.97,60.99418117
2024-02-20,37.24,36.42,37.67,34.66,54.64742141
2024-02-21,35.11,36.14,36.15,34.58,53.7642068
2024-02-22,40.45,41.42,42.05,39.87,65.18950104
2024-02-23,42.14,40.17,42.68,39.41,61.32588735
2024-02-26,41.22,41.21,41.8,40.4,63.27606109
2024-02-27,41.81,41.11,42.16,40.78,62.94737456
2024-02-28,39.74,39.8,40.5,39.15,58.64941672
2024-02-29,41.21,42.84,43.13,40.77,64.6768324
2024-03-01,44.4,48.33,48.95,44.24,72.47874641
2024-03-04,50,49.77,51.41,49,74.09496653
2024-03-05,48.01,46.84,49,45.26,65.64726186
2024-03-06,49.76,50.22,51.85,48.72,69.90928915
2024-03-07,52.15,55.32,56.06,52.1,74.95782141
2024-03-08,55.94,48.95,56.99,48.8,61.15627753
2024-03-11,46.94,46.77,47.79,45.1,57.26995113
2024-03-12,48.44,49.58,49.69,46,60.73374634
2024-03-13,47.9,46.08,48.04,45.09,54.77756455
2024-03-14,45.5,43.53,46.34,42.18,50.86372636
2024-03-15,41.81,42.74,44.14,41.62,49.67946209
2024-03-18,44.7,42.54,45.26,42.33,49.36609254
2024-03-19,40.71,41.42,41.95,38.94,47.55697477
2024-03-20,41.59,43.4,43.8,40.62,50.97729823
2024-03-21,47.62,46.31,48.76,46.06,55.56425255
2024-03-22,45.68,46.43,47.5,45.25,55.74813138
2024-03-25,44.5,45.89,47.17,44.14,54.65214874
2024-03-26,46.82,45.03,47.37,44.88,52.86949141
2024-03-27,46.23,46.5,46.54,43.91,55.53907015
2024-03-28,46.31,46.53,47.3,46.01,55.59435007
2024-04-01,46.73,47.99,49.99,46.72,58.31095881
2024-04-02,45.83,45.88,46.15,44.38,53.24158709
2024-04-03,44.29,46.19,47.18,44.21,53.87603289
2024-04-04,48.13,42.37,48.49,41.98,45.65527136
2024-04-05,42.7,43.62,44.53,41.94,48.42832949
2024-04-08,44.5,44,45.19,43.5,49.27570486
2024-04-09,45.37,45.39,45.85,43.17,52.35930871
2024-04-10,43.11,43.09,44.77,42.19,47.24171363
2024-04-11,43.71,45.8,46.05,42.66,53.06293463
2024-04-12,43.32,41.51,43.55,41.03,44.66189168
2024-04-15,42.99,39.78,43.4,39.1,41.78863999
2024-04-16,39.75,40.54,41.17,39.21,43.50803403
2024-04-17,40.6,37.06,40.85,36.64,37.97664057
2024-04-18,36.04,34.91,36.8,34.53,35.01480651
2024-04-19,33.96,30.79,34.58,30.2,30.16051001
2024-04-22,31.58,32.07,32.85,30.5,33.25637352
2024-04-23,32.82,34.11,34.66,32.59,37.97537158
2024-04-24,36.91,35.49,37.48,34.6,41.01363374
2024-04-25,35.28,37.41,38.18,34.64,45.0469277
2024-04-26,37.32,39.8,40.29,37.01,49.66109516
2024-04-29,39.6,40.61,40.83,38.71,51.15790777
2024-04-30,40.08,38.18,41.49,38.12,46.67411341
2024-05-01,36.08,34.37,38.06,33.65,40.65719997
2024-05-02,35.98,36.45,36.91,34.12,44.83801197
2024-05-03,38.75,38.97,39.58,38.1,49.48170182
2024-05-06,39.97,41.3,41.38,39.48,53.38879435
